case_number,claimant,respondents,status,NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES
2018-20,,,,359.0,2017.0,Diag and Šťáva v. Czechia,Diag Human SE and Josef Šťáva v. The Czech Republic (PCA Case No. 2018-20),Czech Republic - Switzerland BIT (1990),None (ad hoc),PCA (Permanent Court of Arbitration),Decided in favour of investor,Czechia,Switzerland,Secondary - C - Manufacturing,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,"Hanotiau, B. - President; Price, D. M. - Claimant; Knieper, R. - Respondent",Award dated 18 May 2022 ,,52000.00 CZK (2209.50 USD),8300.00 CZK (352.70 USD),Data not available,Data not available,Judicial review by national courts,Pending Judicial review by national courts,,No decisions recorded,,Not available,"https://www.mfcr.cz/cs/zahranicni-sektor/ochrana-financnich-zajmu/arbitraze/prehled-arbitraznich-sporu-vedenych-prot;
https://www.iareporter.com/articles/long-running-dispute-over-czech-plasma-trading-and-processing-venture-takes-a-new-turn-as-company-turns-to-bilateral-investment-treaty/;
 https://globalarbitrationreview.com/article/1158723/czech-blood-plasma-saga-leads-to-treaty-claim ;
https://www.iareporter.com/articles/bernard-hanotiau-chosen-by-colleagues-to-chair-ad-hoc-bit-arbitration-by-swiss-investor/;
https://pca-cpa.org/en/cases/213/;
http://web.archive.org/web/20220000000000*/https://www.mfcr.cz/cs/aktualne/tiskove-zpravy/2022/nalez-investicniho-arbitrazniho-tribunal-47570;
https://www.iareporter.com/articles/78409/"
2017/060,,,,365.0,2017.0,FREIF Eurowind v. Spain,FREIF Eurowind Holdings Ltd. v. Kingdom of Spain (SCC Case No. 2017/060),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of State,Spain,United Kingdom,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.","Shareholding of 50% (preferred equity interest) in a portfolio of six operating wind parks with a total capacity of 244 MW, as part of a joint venture with Spanish company Renovalia.","Jones, D. - President; Hobér, K. - Claimant; Clay, T. - Respondent",Final Award dated 8 March 2021 https://jusmundi.com/en/document/pdf/decision/en-freif-eurowind-holdings-ltd-v-kingdom-of-spain-final-award-monday-8th-march-2021,,99.40 EUR (118.40 USD),Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Umbrella clause;
Arbitrary, unreasonable and/or discriminatory measures",None - all claims dismissed at the merits stage,,,,No follow-up proceedings initiated,,Not available,"http://elperiodicodelaenergia.com/el-extrano-caso-de-las-demandas-fantasma-contra-espana-por-el-hachazo-a-las-renovables/;
http://elperiodicodelaenergia.com/los-inversores-internacionales-reclaman-7-566-millones-a-espana-por-el-hachazo-a-las-renovables/;
https://www.iareporter.com/articles/as-another-spain-award-looms-four-more-previously-confidential-renewables-cases-surface-potential-liability-for-all-pending-claims-now-exceeds-9-5-billion/;
https://www.ecestaticos.com/file/d88ce7a07265dbf8d809b453b848f239/1514204320-186-881-tribunals-arbitratge.pdf;
www.idae.es/file/12971/download?token=QCXFtEkz"
2018-18,,,,367.0,2017.0,Fynerdale v. Czech Republic,Fynerdale Holdings B.V. v. The Czech Republic (PCA Case No. 2018-18),Czech Republic - Netherlands BIT (1991),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Czechia,Netherlands,Tertiary - K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of the Government’s alleged failure to act on the claimant’s criminal complaint regarding its business partners’ fraudulent activities, which allegedly entailed the loss of the claimant’s assets.","Loans to Czech company YTRIX a.s. and Maltese company Poppyseed Limited, to be used for trade in poppy seeds produced in the Czech Republic.","Wolfrum, R. - President; Orrego Vicuña, F. - Claimant (replaced); Kühn, W. - Claimant; Boisson de Chazournes, L. - Respondent","Award dated 29 April 2021 https://www.italaw.com/sites/default/files/case-documents/italaw170021.pdf;
Award on Costs dated 16 August 2021 https://www.italaw.com/sites/default/files/case-documents/italaw170307.pdf",Separate Opinion by Wolfgang Kühn (Award dated 29 April 2021),2438.00 CZK (113.60 USD),Data not available,"Full protection and security, or similar;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Indirect expropriation",None - jurisdiction declined,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/4750 ,"https://pca-cpa.org/en/cases/167/;
https://www.iareporter.com/articles/czech-republic-updates-on-six-pending-investment-treaty-arbitrations/;
https://globalarbitrationreview.com/article/1076777/banking-measures-lead-to-threat-against-czech-republic ;
 https://www.iareporter.com/articles/the-czech-republic-updates-on-fifteen-investment-treaty-disputes/;
 https://www.mfcr.cz/cs/zahranicni-sektor/ochrana-financnich-zajmu/arbitraze/prehled-arbitraznich-sporu-vedenych-prot ;
https://www.mfcr.cz/cs/zahranicni-sektor/ochrana-financnich-zajmu/arbitraze/aktualni-informace/2015/zadost-o-zahajeni-jednani-o-smirnem-rese-23019;
https://www.mfcr.cz/cs/legislativa/materialy-na-jednani-vlady/2-ctvrtleti-18/materialy-na-jednani-vlady-dne-13-cervna-32131;
https://www.iareporter.com/articles/czech-republic-updates-on-six-pending-investment-treaty-arbitrations/"
2017-41,,,,372.0,2017.0,Iberdrola Energía v. Guatemala (II),"Iberdrola Energía, S.A. v. The Republic of Guatemala (II) (PCA Case No. 2017-41)",Guatemala - Spain BIT (2002),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Guatemala,Spain,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of Guatemala’s electricity regulator decision to set tariffs for the electricity company in which the claimant had an investment based on an independently commissioned technical study rather than on a study commissioned by the electricity company, during the process of review and pricing of electricity distribution tariffs for the five-year period 2008-2013.","Majority shareholding and operator of Empresa Eléctrica de Guatemala, a local electricity distribution company that held rights under certain authorization agreement for distribution of electricity in the departments of Guatemala, Sacatepéquez and Escuintla, for a period of 50 years.","Kaufmann-Kohler, G. - President; Dupuy, P.-M. - Claimant; Thomas, J. C. - Respondent",Final Award dated 24 August 2020 https://www.italaw.com/sites/default/files/case-documents/italaw16412.pdf,,Data not available,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Arbitrary, unreasonable and/or discriminatory measures",None - jurisdiction declined,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/8481,"https://pcacases.com/web/view/162;
https://globalarbitrationreview.com/article/1170576/spanish-energy-company%E2%80%99s-claim-against-guatemala-gets-under-way;
 https://www.iareporter.com/articles/kaufmann-kohler-in-chair-for-new-effort-by-iberdrola-to-sue-guatemala-under-spanish-investment-treaty/ ;
https://globalarbitrationreview.com/iberdrola-barred-bringing-second-claim-against-guatemala"
2017-26,,,,373.0,2017.0,ICL Europe v. Ethiopia,ICL Europe Coöperatief U.A. v. Ethiopia (PCA Case No. 2017-26),Ethiopia - Netherlands BIT (2003),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Ethiopia,Netherlands,Primary - B - Mining and quarrying,8 - Other mining and quarrying,"Claims arising out of the State’s imposition of an allegedly illegal tax assessment on the claimant’s indirect subsidiary, Allana Potash, and failure to provide infrastructure support for a large-scale potash mining project in northern Ethiopia.","Investments in a potash mining project through indirect subsidiary Allana Potash Afar Plc (“Allana Potash”), which held mining concessions for the Danakil mine in Ethiopia’s Afar region.","Donoghue, J. E. - President; Caron, D. D. - Respondent (replaced); Murphy, S. D. - Respondent; Smit, R. H. - Claimant",Award dated 9 July 2021 ,,200.00 USD,Data not available,"Indirect expropriation;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - all claims dismissed at the merits stage,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/5749,"https://www.iareporter.com/articles/ethiopia-round-up-ethiopia-hit-with-uncitral-investment-treaty-claim-brought-by-israeli-investor-as-state-owned-firm-pursues-domestic-set-aside-of-award/;
http://globalarbitrationreview.com/article/1142871/israeli-investor-brings-treaty-claim-against-ethiopia;
http://secfilings.nasdaq.com/filingFrameset.asp?FilingID=12054703&RcvdDate=5/10/2017&CoName=ISRAEL%20CHEMICALS%20LTD&FormType=6-K&View=html;
https://pca-cpa.org/en/cases/153/;
https://www.iareporter.com/articles/joan-donoghue-is-selected-by-appointing-authority-to-chair-israel-chemicals-bit-claim-against-ethiopia/;
https://globalarbitrationreview.com/article/1151773/treaty-claim-against-ethiopia-gets-under-way-with-icj-judge-as-chair;
https://www.iareporter.com/articles/uncitral-tribunal-dismisses-treaty-based-claims-against-ethiopia/;
https://globalarbitrationreview.com/israeli-investor-fails-in-tax-claim-against-ethiopia"
2017-36,,,,377.0,2017.0,Kingsgate v. Thailand,Kingsgate Consolidated Ltd v. The Kingdom of Thailand (PCA Case No. 2017-36),Australia - Thailand FTA (2004),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Thailand,Australia,Primary - B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the alleged indirect expropriation of the Chatree gold mine, owned and operated by the claimant’s local subsidiary Akara, through measures taken by the Government in 2016, including non-renewal of Akara’s processing licence for the Chatree mine beyond 2016 and an order to close the mine and to suspend all gold mining and related activities in the country by the end of 2016.","Full ownership of Akara Resources Public Co Limited (“Akara”), a local company that held a metallurgical processing licence for the Chatree gold mine located in central Thailand.","Lévy, L. - President; Kaplan, N. - Claimant; Thomas, J. C. - Respondent",,No decisions recorded,Data not available,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Indirect expropriation",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/5572,"http://www.asx.com.au/asxpdf/20171102/pdf/43nx46y27z949y.pdf;
https://www.asx.com.au/asxpdf/20171110/pdf/43p3tbzmrgdhk4.pdf;
https://www.asx.com.au/asxpdf/20180125/pdf/43r1qnycb38qpf.pdf;
http://www.iareporter.com/articles/a-second-gold-mine-investor-puts-thailand-on-notice-of-arbitration-claim-this-time-under-australian-free-trade-agreement/;
 http://www.iareporter.com/articles/australian-investor-makes-good-on-bit-arbitration-threat-against-thailand-and-takes-its-political-risk-insurer-to-court/;
http://globalarbitrationreview.com/article/1149645/thailand-faces-treaty-claim-over-mining-ban"
2018-44,,,,385.0,2017.0,MetroJet v. Egypt,MetroJet (Kogalymavia) Limited v. Arab Republic of Egypt (PCA Case No. 2018-44),Egypt - Russian Federation BIT (1997),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Egypt,Russian Federation,Tertiary - H - Transportation and storage,51 - Air transport,"Claims arising out of the Government’s alleged failure to put in place security systems at the Sharm el Sheikh airport compliant with international standards, related to the 2015 crash of an international chartered passenger flight (Metrojet Flight 9268) operated by the claimant. According to the claimant, this caused economic harm to its business, leading to a cease of operations and bankruptcy.",Investments in air transport services.,"Greenwood, C. - President; Hobe, S. - Claimant; Thomas, J. C. - Respondent",Award dated 18 March 2021 ,,106.00 USD,Data not available,Data not available,None - jurisdiction declined,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/metrojet-v-egypt/;
https://www.iareporter.com/articles/egypt-round-up-an-update-on-new-investment-claims-settlements-and-arbitrator-appointments/;
https://globalarbitrationreview.com/egypt-defeats-claims-over-suspected-airline-bombing;
https://www.iareporter.com/articles/revealed-metrojet-v-egypt-tribunal-finds-that-activities-of-a-charter-airline-do-not-qualify-as-an-investment-in-the-host-states-territory/"
2017-37,,,,387.0,2017.0,Nissan v. India,"Nissan Motor Co., Ltd. v. Republic of India (PCA Case No. 2017-37)",India - Japan EPA (2011),UNCITRAL,PCA (Permanent Court of Arbitration),Settled,India,Japan,Secondary - C - Manufacturing,"29 - Manufacture of motor vehicles, trailers and semi-trailers","Claims arising out of non-payment of incentives by the Indian State government of Tamil Nadu, which had been allegedly promised to the claimant under the agreement for building of a car plant, signed with the State government in 2008.","70 per cent share in Renault Nissan Automotive India Private Limited, a consortium that built an industrial automotive facility in Chennai, the capital of Tamil Nadu.","Kalicki, J. E. - President; Hobér, K. - Claimant; Khehar, J. S. - Respondent",Decision on Jurisdiction dated 29 April 2019 https://www.italaw.com/sites/default/files/case-documents/italaw10875.pdf,,660.00 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Umbrella clause",Not applicable - settled or discontinued before decision on liability,Judicial review by national courts,Pending Judicial review by national courts,,No decisions recorded,,https://www.italaw.com/cases/7627,"https://www.iareporter.com/articles/indian-state-government-seeks-domestic-court-order-to-restrain-nissans-bit-arbitration-as-claimant-seeks-interim-measures-to-restrain-india/;
http://globalarbitrationreview.com/article/1151303/nissan-brings-claims-against-india;
https://www.iareporter.com/articles/another-treaty-claim-against-india-surfaces/;
https://in.reuters.com/article/nissan-india-arbitration/exclusive-nissan-sues-india-over-outstanding-dues-seeks-over-770-million-idINKBN1DV3N5;
http://www.thehindu.com/news/national/tamil-nadu/tn-seeks-to-stay-nissan-arbitration/article21264126.ece;
http://www.business-standard.com/article/economy-policy/nissan-tn-row-global-tribunal-asks-govt-to-seek-deferral-of-hc-proceedings-117120701002_1.html;
http://www.thehindu.com/news/national/nissan-motor-moves-arbitral-tribunal/article21291928.ece;
https://www.iareporter.com/articles/an-update-on-investment-treaty-disputes-involving-the-government-of-india/;
https://www.iareporter.com/articles/india-round-up-bit-claims-withdrawn-on-cusp-of-hearings-another-dispute-is-formally-notified-and-japanese-investor-reportedly-clears-jurisdictional-hurdles/;
https://www.reuters.com/article/us-nissan-india-arbitration-exclusive/exclusive-arbitration-court-rejects-indias-plea-in-case-against-nissan-sources-document-idUSKCN1SZ0X8;
https://globalarbitrationreview.com/article/1209883/gearing-barred-from-defending-nissan-award-in-singapore;
https://www.iareporter.com/articles/nissan-v-india-previously-unseen-jurisdictional-decision-reveals-tribunals-rejection-of-objections-on-tribunal-constitution-fork-in-the-road-contractual-forum-selection-clause-time-bar/;
https://www.iisd.org/itn/en/2020/10/05/pca-tribunal-upholds-jurisdiction-over-disputes-under-india-japan-comprehensive-economic-partnership-agreement/;
https://www.reuters.com/article/us-nissan-india-arbitration-exclusive/exclusive-nissan-settles-dispute-with-indian-state-over-unpaid-dues-sources-idUSKBN2342AR;
https://globalarbitrationreview.com/nissan-settles-treaty-claim-against-india;
https://www.iareporter.com/articles/india-reportedly-settles-treaty-based-dispute-with-nissan/"
2017/200,,,,389.0,2017.0,Ojeocan v. Poland,Ojeocan Management Ltd v. Republic of Poland (SCC Case No. 2017/200),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of State,Poland,Cyprus,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,,Data not available,Award dated 28 September 2021 ,,Data not available,Data not available,Data not available,None - jurisdiction declined,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/ojeocan-management-v-poland/;
https://web.archive.org/web/20220223142731/https://www.gov.pl/web/prokuratoria/wygrana-prokuratorii-generalnej-rp-w-postepowaniu-arbitrazowym-ojeocan-management-ltd-przeciwko-rzeczypospolitej-polskiej"
2017-30,,,,393.0,2017.0,Pey Casado and others v. Chile,"“President Allende” Foundation, Victor Pey Casado and Coral Pey Grebe v. Republic of Chile (PCA Case No. 2017-30)",Chile - Spain BIT (1991),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Chile,Spain,Tertiary - J - Information and communication,58 - Publishing activities,"Claims arising out of the State’s actions following a 2008 judgment of the Santiago court in relation to the confiscation of the Goss printing press, as well as the alleged lack of remedy for the claimants’ deprivation of their property rights in the Chilean newspaper El Clarín.",Ownership of the Chilean newspaper enterprises Consorcio Publicitario y Periódico S.A. (CPP) and Empresa Periodística Clarín Ltda. (EPC).,"Ruiz Fabri, H. - Claimant; Drymer, S. L. - Respondent; Hanotiau, B. - President",Award dated 28 November 2019 https://www.italaw.com/sites/default/files/case-documents/italaw170010.pdf,,338.30 USD,Data not available,"Indirect expropriation;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - jurisdiction declined,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/5589,"https://www.iareporter.com/articles/pey-casado-seeks-to-exit-long-running-icsid-case-one-week-after-filing-new-claim-under-uncitral-rules-but-must-get-chiles-blessing-for-discontinuation/;
https://www.iareporter.com/articles/pey-casado-files-a-new-uncitral-arbitration-against-chile-meanwhile-arbitrator-challenge-is-rejected-in-parallel-long-running-icsid-claim/;
http://globalarbitrationreview.com/article/1139962/from-icsid-to-uncitral-pey-casado-saga-to-continue-in-different-guise;
http://www.elclarin.cl/web/noticias/cronica/22110-victor-pey-allende-notifica-al-gobierno-sobre-nueva-demanda-ante-un-tribunal-de-la-onu-para-la-devolucion-del-clarin.html;
http://www.iareporter.com/articles/hanotiau-tapped-to-chair-latest-iteration-of-pey-casado-v-chile-saga/;
https://globalarbitrationreview.com/article/1145626/french-judge-to-appoint-president-in-pey-casado-case-at-pca;
https://globalarbitrationreview.com/article/1148916/spanish-publisher-objects-to-latin-maxim-in-award;
https://www.iareporter.com/articles/tribunal-orders-bifurcation-of-chiles-jurisdictional-objections-in-pey-casado-uncitral-claim/;
https://www.iareporter.com/articles/revealed-uncitral-tribunal-declined-jurisdiction-over-pey-casados-bit-case/;
https://www.iareporter.com/articles/uncitral-award-in-pey-casado-v-chile-saga-surfaces-revealing-that-arbitrators-declined-jurisdiction-after-finding-that-the-claimant-had-no-investment/"
2018-43,,,,396.0,2017.0,Prens Turizm v. Egypt,Prens Turizm Kuyumculuk Tasimacilik ve Dis Ticaret Limited v. Arab Republic of Egypt (PCA Case No. 2018-43),Egypt - Turkey BIT (1996),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Egypt,Türkiye,Tertiary - N - Administrative and support service activities,"79 - Travel agency, tour operator, reservation service and related activities","Claims arising out of the Government’s alleged failure to put in place security systems at the Sharm el Sheikh airport compliant with international standards, related to the 2015 crash of an international chartered passenger flight (Metrojet Flight 9268) operated by a Russian airline. According to the claimant, this caused economic harm to its travel agency and tour operator activities with Russian tourists in Egypt.",Investments in tourism activities.,"Greenwood, C. - President; Hobe, S. - Claimant; Thomas, J. C. - Respondent",Award dated 18 March 2021 ,,94.00 USD,Data not available,Data not available,None - jurisdiction declined,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/prens-turizm-v-egypt/;
https://www.iareporter.com/articles/egypt-round-up-an-update-on-new-investment-claims-settlements-and-arbitrator-appointments/;
https://www.iareporter.com/articles/revealed-tribunal-hearing-egyptian-plane-crash-arbitration-sees-local-litigation-provision-as-mandatory-adding-to-conflicting-case-law-regarding-turkeys-investment-treaties/;
https://globalarbitrationreview.com/egypt-defeats-claims-over-suspected-airline-bombing"
2017-10,,,,404.0,2017.0,Slot v. Poland,Slot Group a.s. v. Republic of Poland (PCA Case No. 2017-10),Czech Republic - Poland BIT (1993),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of investor,Poland,Czechia,"Tertiary - R - Arts, entertainment and recreation",92 - Gambling and betting activities,"Claims arising out of Poland’s Gambling Law of 2009, which entered into force in January 2010 and restricted the operation of slot machines outside of casinos.",Investments in the gambling industry.,"Fernández-Armesto, J. - President; Wirth, M. - Claimant; Sójka, T. - Respondent","Award dated 3 February 2020 ;
Award (corrected) dated 2 April 2020 ",,Data not available,2.60 PLN (0.67 USD),"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Judicial review by national courts,Award/decision set aside in its entirety Judicial review by national courts,Judgment of the Paris Court of Appeal dated 19 April 2022 (French) (Judicial review by national courts),,,https://www.italaw.com/cases/9285,"http://www.iareporter.com/articles/arbitrators-named-in-uncitral-bit-claim-against-poland/;
https://www.iareporter.com/arbitration-cases/slot-group-v-poland/;
https://www.iareporter.com/articles/poland-round-up-a-new-award-a-newly-identified-tribunal-and-other-procedural-updates-on-polish-cases-including-a-previously-unknown-judgment-from-set-aside-proceedings/;
https://www.iareporter.com/articles/paris-court-sets-aside-gambling-award-against-poland-finding-that-the-tribunal-lacked-jurisdiction-due-to-the-intra-eu-nature-of-the-dispute/"
2019-09,,,,406.0,2017.0,Tasev v. North Macedonia,Blazo Tasev v. Republic of North Macedonia (PCA Case No. 2019-09),"Macedonia, The former Yugoslav Republic of - Slovenia BIT (1996)",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,North Macedonia,Slovenia,Primary - B - Mining and quarrying,7 - Mining of metal ores,,,"van Leeuwen, M. - President; Van Houtte, V. - Claimant; Thomas, J. C. - Respondent",Data not available,Data not available,426.00 USD,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/arbitration-cases/blazo-tasev-v-macedonia/;
https://www.iareporter.com/articles/uncovered-dispute-over-lead-zinc-mine-prompts-treaty-based-uncitral-arbitration/"
2018-54,,,,407.0,2017.0,Tennant Energy v. Canada,"Tennant Energy, LLC. v. Canada (PCA Case No. 2018-54)",NAFTA (1992),UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Canada,United States of America,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of the alleged unfair treatment of the claimant’s wind farm project through certain regulatory measures, and Ontario’s allegedly non-transparent administration of the feed-in tariff programme for renewable energy sources.","Ownership of Skyway 127 Wind Energy Inc., an enterprise that planned to develop a wind farm in Ontario.","Bull, C. - President; Bishop, D. - Claimant; Bethlehem, D. - Respondent",,No decisions recorded,116.00 CAD (86.10 USD),Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Pending,,,,No follow-up proceedings initiated,,https://www.italaw.com/cases/7250,"http://www.international.gc.ca/trade-agreements-accords-commerciaux/topics-domaines/disp-diff/tennant.aspx?lang=eng;
https://www.iareporter.com/articles/canada-faces-a-new-nafta-chapter-11-arbitration-in-relation-to-off-shore-wind-project/;
https://pca-cpa.org/en/cases/202/"
2017-194,,,,409.0,2017.0,Triodos SICAV II v. Spain,Triodos SICAV II v. Kingdom of Spain (SCC Case No. 2017-194),The Energy Charter Treaty (1994),SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Pending,Spain,Luxembourg,"Tertiary - D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.",,Data not available,,No decisions recorded,Data not available,Data not available,Data not available,Pending,,,,No follow-up proceedings initiated,,Not available,"https://www.iareporter.com/articles/spain-faces-two-more-energy-charter-treaty-claims-at-stockholm-chamber-of-commerce-and-icsid/ ;
https://www.elconfidencial.com/empresas/2018-05-01/recorte-renovables-arbitraje-triodos-bank-inversores-extranjeros_1557599;
https://globalarbitrationreview.com/article/1169149/czech-republic-wins-second-solar-case ;
http://www.idae.es/ca/node/13181;
http://www.idae.es/ca/file/13787/download?token=0OHe25FK"
2017-15,,,,415.0,2016.0,A.M.F. Aircraftleasing v. Czech Republic,A.M.F. Aircraftleasing Meier & Fischer GmbH & Co. KG v. Czech Republic (PCA Case No. 2017-15),Czech Republic - Germany BIT (1990),UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Czechia,Germany,Tertiary - N - Administrative and support service activities,77 - Rental and leasing activities,"Claims arising out of acts of Czech bankruptcy administrators and courts concerning two aircrafts that are allegedly owned by the claimant and were wrongly included in the bankruptcy proceedings of Czech company Air Charter Ltd, which had leased the planes. The aircrafts were subsequently sold as part of the bankruptcy proceedings.",Ownership of two aircrafts and related leasing activities.,"Tercier, P. - President; Alexandrov, S. A. - Claimant; Kalicki, J. E. - Respondent",Final Award dated 11 May 2020 https://www.italaw.com/sites/default/files/case-documents/italaw11589.pdf,Separate Declaration of Stanimir A. Alexandrov (Final Award dated 11 May 2020),125.20 USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims;
Full protection and security, or similar;
Arbitrary, unreasonable and/or discriminatory measures;
National treatment;
Indirect expropriation",None - all claims dismissed at the merits stage,Judicial review by national courts,Discontinued Judicial review by national courts,Judgment of the Swiss Federal Tribunal dated 8 December 2020 (German) (Judicial review by national courts),,,http://www.italaw.com/cases/4740,"http://www.mfcr.cz/cs/aktualne/tiskove-zpravy/2016/ceska-republika-celi-mezinarodni-arbitra-26793;
http://www.iareporter.com/articles/czech-republic-round-up-german-co-files-125-mil-bit-claim-finance-ministry-says-that-russian-investor-has-yet-to-file-threatened-notice-updates-on-status-of-other-cases/;
http://www.iareporter.com/articles/the-czech-republic-updates-on-fifteen-investment-treaty-disputes/;
http://globalarbitrationreview.com/article/1078417/czech-republic-faces-treaty-claim-over-seized-boeing-airplanes;
https://www.iareporter.com/articles/czech-republic-round-up-an-update-on-pending-treaty-based-claims/;
http://www.mfcr.cz/cs/aktualne/aktuality/2018/odvolaci-soud-potvrdil-vitezstvi-uzsvm-v-30795;
https://www.iisd.org/itn/en/2020/10/05/uncitral-tribunal-dismisses-claims-of-german-aircraft-leasing-company-against-the-czech-republic-while-upholding-its-jurisdiction-over-the-intra-eu-claim/;
https://www.iareporter.com/articles/swiss-federal-tribunal-dismisses-set-aside-application-in-pca-bit-arbitration/"
